FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS,,,,,,,
COR_PLZ_MAIN_N_M3,COR_PLZ_MAIN_N_F0,WALK,TRUE,,,,2026-02-25T21:30:16.783Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_M3,WC_C_F0,WALK,TRUE,,,,2026-02-25T21:30:19.892Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_M3,SEATING_MAIN_F0,WALK,TRUE,,,,2026-02-25T21:30:22.684Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_M3,COR_PLZ_STAGE_N_F0,WALK,TRUE,,,,2026-02-25T21:30:28.474Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_M2,COR_PLZ_STAGE_N_F0,WALK,TRUE,,,,2026-02-25T21:30:32.902Z,ACTIVE,,,,,,,
COR_PLZ_STAGE_N_F0,COR_PLZ_STAGE_W_F0,WALK,TRUE,,,,2026-02-25T21:32:01.741Z,ACTIVE,,,,,,,
COR_PLZ_STAGE_S_F0,COR_PLZ_STAGE_W_F0,WALK,TRUE,,,,2026-02-25T21:32:12.770Z,ACTIVE,,,,,,,
COR_PLZ_STAGE_E_F0,COR_PLZ_STAGE_S_F0,WALK,TRUE,,,,2026-02-25T21:32:18.466Z,ACTIVE,,,,,,,
COR_PLZ_STAGE_N_F0,COR_PLZ_STAGE_E_F0,WALK,TRUE,,,,2026-02-25T21:32:32.843Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_WE_W_M1,NODE_PLZ_CROSS_CENTER_F0,WALK,TRUE,,,,2026-02-25T21:32:52.822Z,ACTIVE,,,,,,,
COR_EXT_W_S,COR_EXT_W_M5,WALK,TRUE,,,,2026-02-25T21:02:13.452Z,ACTIVE,,,,,,,
COR_EXT_W_M4,COR_EXT_W_M5,WALK,TRUE,,,,2026-02-25T21:02:36.917Z,ACTIVE,,,,,,,
COR_EXT_W_M4,COR_EXT_W_M3,WALK,TRUE,,,,2026-02-25T21:02:40.480Z,ACTIVE,,,,,,,
COR_EXT_W_M3,COR_EXT_W_M2,WALK,TRUE,,,,2026-02-25T21:03:29.136Z,ACTIVE,,,,,,,
